primaryTitle,movieId,T_Const,startYear,averageRating,numVotes,Family,Biography,Musical,Reality-TV,Music,War,Action,Mystery,Sport,Drama,Short,Talk-Show,Game-Show,Fantasy,Documentary,Thriller,Adventure,Comedy,Romance,History,Film-Noir,Adult,Animation,News,Horror,Western,Sci-Fi,Crime
Roman Holiday,105,0046250,-0.4355543013307989,0.14333342652650352,-0.03795563993142091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The War of the Worlds,107,0046534,-0.4355543013307989,-0.0037253970029082384,-0.07694312000500948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"20,000 Leagues Under the Sea",110,0046672,-0.42513763466413224,0.02568636770297414,-0.07767342035393926,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dial M for Murder,111,0046912,-0.42513763466413224,0.17274519123238577,-0.024052006677621075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
On the Waterfront,112,0047296,-0.42513763466413224,0.15803930887944465,-0.03171729116767135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Rear Window,122,0047396,-0.42513763466413224,0.2168628382912094,0.09477922202115509,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sabrina,125,0047437,-0.42513763466413224,0.08450989711473876,-0.06583559217306807,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Seven Samurai,135,0047478,-0.42513763466413224,0.23156872064415052,0.0401272011473425,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lady and the Tramp,140,0048280,-0.41472096799746555,0.04039225005591526,-0.039177525376408714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Mister Roberts,141,0048380,-0.41472096799746555,0.08450989711473876,-0.08415890061345029,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rebel Without a Cause,144,0048545,-0.41472096799746555,0.08450989711473876,-0.0560448237968712,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To Catch a Thief,145,0048728,-0.41472096799746555,0.05509813240885651,-0.06282487255752205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Around the World in 80 Days,147,0048960,-0.4043043013307989,-0.04784304406173174,-0.08009079484576077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Forbidden Planet,150,0049223,-0.4043043013307989,0.06980401476179764,-0.07178625845258757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Invasion of the Body Snatchers,151,0049366,-0.4043043013307989,0.09921577946768001,-0.07162788006366304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
The King and I,153,0049408,-0.4043043013307989,0.05509813240885651,-0.08060686355749795,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men,154,0050083,-0.39388763466413224,0.29039225005591524,0.20518808692630214,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Bridge on the River Kwai,157,0050212,-0.39388763466413224,0.17274519123238577,-0.006877132835189208,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Paths of Glory,158,0050825,-0.39388763466413224,0.20215695593826827,-0.015978534407419892,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Seventh Seal,159,0050976,-0.39388763466413224,0.15803930887944465,-0.020460183746190116,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Touch of Evil,160,0052311,-0.38347096799746555,0.14333342652650352,-0.05080762538050207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Vertigo,161,0052357,-0.38347096799746555,0.18745107358532714,0.06142871190119685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Ben-Hur,162,0052618,-0.3730543013307989,0.15803930887944465,0.00023114939816030797,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
North by Northwest,163,0053125,-0.3730543013307989,0.18745107358532714,0.0333919114966051,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The 400 Blows,164,0053198,-0.3730543013307989,0.15803930887944465,-0.04596407759747434,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sleeping Beauty,165,0053285,-0.3730543013307989,0.02568636770297414,-0.03417674687394141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Some Like It Hot,168,0053291,-0.3730543013307989,0.17274519123238577,0.010468743760501753,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Apartment,170,0053604,-0.36263763466413224,0.18745107358532714,-0.02185460217041696,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Magnificent Seven,172,0054047,-0.36263763466413224,0.09921577946768001,-0.054444589978341465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Ocean's Eleven,173,0054135,-0.36263763466413224,-0.07725480876761412,-0.08172278085337441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Psycho,175,0054215,-0.36263763466413224,0.2168628382912094,0.1617373202257027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Spartacus,176,0054331,-0.36263763466413224,0.1286275441735624,-0.03928387608201504,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Breakfast at Tiffany's,180,0054698,-0.35222096799746555,0.08450989711473876,-0.0221836007561056,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Guns of Navarone,181,0054953,-0.35222096799746555,0.06980401476179764,-0.07109956954408629,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Hustler,185,0054997,-0.35222096799746555,0.14333342652650352,-0.05936847462531642,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Hundred and One Dalmatians,186,0055254,-0.35222096799746555,0.04039225005591526,-0.026953315135600876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
The Parent Trap,188,0055277,-0.35222096799746555,0.02568636770297414,-0.08232951545442346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
West Side Story,193,0055614,-0.35222096799746555,0.08450989711473876,-0.04719743973731175,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
